"","Title","Date","Link","Category","Section","Preview"
"1","Flu vaccine delay for schoolchildren across Scotland",2019-11-14,"https://www.bbc.co.uk/news/uk-scotland-50407148","News","Scotland"," vaccination at primary school. Scottish health boards confirmed flu programmes have been vaccines than needed. How many children have been affected? Programmes started in Scotland in October to vaccinate against flu, which typically circulates in December"
"2","Ebola vaccine approved as second jab trialled",2019-11-13,"https://www.bbc.co.uk/news/health-50315970","News","Health","A second Ebola vaccine is to be offered to around 50,000 people&J) vaccine will be used alongside a vaccine made by Merck, which has already largest Ebola outbreak on record. The WHO's approval of Merck's one-dose vaccine"
"3","Child flu vaccine delay hits Highland primary schools",2019-11-13,"https://www.bbc.co.uk/news/uk-scotland-highlands-islands-50403858","News","Highlands & Islands","NHS Highland has warned of delays affecting some child flu vaccinations in its the health board receiving fewer vaccines than it ordered. NHS Highland said deliveries vaccination sessions due to start on 11 and 18 November had been postponed. NHS Highland"
"4","Conspiracy Files: Vaccine Wars",2019-09-26,"https://www.bbc.co.uk/programmes/m0008rvk","Programmes","BBC Two"," Health Organisation has labelled ‘vaccine hesitancy’ one of the top ten threats to global health. But campaigners claim that vaccines are unsafe, and the cause the arguments of those who campaign against vaccines, and hears from people at the heart"
"5","Mark Murphy: Flu vaccine plea",2011-01-17,"https://www.bbc.co.uk/programmes/p00d08qv","Programmes","BBC Radio Suffolk"," she thinks all under-5s should be given the vaccine.

Brian Keeble, NHS Suffolk's"
"6","Bing: Series 2: Vaccination",2019-11-11,"https://www.bbc.co.uk/programmes/m000bb2g","Programmes","CBeebies","It's vaccination day! Bing knows it might hurt a little but he is looking is brave, but when he goes to get his sticker after his vaccination, he finds out"
"7","Flu-vaccine nasal spray delayed for some schoolchildren",2019-11-07,"https://www.bbc.co.uk/news/health-50337147","News","Health","There will be a delay in some batches of nasal-spray flu vaccine being schools would need to reschedule plans for vaccinating children in mid-November they will be given priority to receive the injected vaccine. This winter, all primary-school-aged"
"8","Children's flu vaccine: PHA downplays fears over delays",2019-11-07,"https://www.bbc.co.uk/news/uk-northern-ireland-50333656","News","Northern Ireland","A delay in delivering the flu vaccine to children in schools across NI should may lead to vaccinations in some primary schools being rescheduled. However, he vaccine.  Supplies are expected to arrive in December. Dr Waldron explained"
"9","Etholle George: Should the meningitis B vaccine to all children?",2016-04-25,"https://www.bbc.co.uk/programmes/p03qdskr","Programmes","BBC Radio Suffolk","A Suffolk mum is calling on MPs to listen to campaigners on the issue."
"10","Good Morning Jersey: Meningitis B vaccine comes to Jersey",2015-03-31,"https://www.bbc.co.uk/programmes/p02lrkq8","Programmes","BBC Radio Jersey","The life saving meningitis vaccine and what it means to one man who lost his"
"11","'Flu nearly killed me last winter'",2019-11-21,"https://www.bbc.co.uk/news/health-50460936","News","Health"," the hard way"" about how dangerous flu is and why people should have the vaccine flu can be, I would urge everyone to get the flu vaccine so they don't have to go the flu vaccine. ""I am urging everyone with asthma to get it as soon as possible"
"12","'Game changing' tuberculosis vaccine a step closer",2019-10-29,"https://www.bbc.co.uk/news/world-asia-india-50205762","News","India","A vaccine which could ""revolutionise"" tuberculosis treatment has been unveiled by researchers. It is hoped the vaccine will provide long-term protection against the disease disease is caused by bacteria, and the current vaccine, the BCG jab, is not very"
"13","Emma Britton: General Election, flu vaccine & a bomb!",2019-10-30,"https://www.bbc.co.uk/programmes/p07qrrtz","Programmes","BBC Radio Bristol","What did you have planned for the 12th December?"
"14","Vaccine reminder system 'inconsistent', report concludes",2019-10-25,"https://www.bbc.co.uk/news/health-50168767","News","Health","The NHS system for reminding parents to have their children vaccinated is ""inconsistent"" and making an appointment can be difficult, says a report on vaccine uptake pre-school vaccinations, such as MMR. NHS England says it is bringing health"
"15","The Vaccines",2016-02-24,"https://www.bbc.co.uk/music/artists/aa76ec08-45ab-4724-9411-d80b0e59ac59","Music","Artists","The BBC artist page for The Vaccines. Find the best clips, programmes, news"
"16","Alison Butterworth and Phil Trow: Meningitis B vaccinations",2019-11-18,"https://www.bbc.co.uk/programmes/p03jqq6j","Programmes","BBC Radio Manchester"," seen a big increase in demand for the Meningitis B vaccine."
"17","Delayed flu vaccinations available 'soon' says NHS Grampian",2018-10-01,"https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-50459076","News","NE Scotland, Orkney & Shetland","Delayed flu vaccinations will resume ""soon"" in schools in the north east health boards were receiving fewer vaccines than needed. NHS Grampian said on Monday, so it could recommence flu vaccinations within primary schools. twitter https"
